state,year,population
IL,2012,12883029.0
IL,2013,12895778.0
IL,2014,12885092.0
IL,2015,12859585.0
IL,2016,12821709.0
IL,2017,12779893.0
IN,1995,5851459.0
IN,1996,5906013.0
IN,1997,5955267.0
IN,1998,5998880.0
IN,1999,6044969.0
IN,2000,6091866.0
IN,2001,6127760.0
IN,2002,6155967.0
IN,2003,6196638.0
IN,2004,6233007.0
IN,2005,6278616.0
IN,2006,6332669.0
IN,2007,6379599.0
IN,2008,6424806.0
IN,2009,6459325.0
IN,2010,6490555.0
IN,2011,6517250.0
IN,2012,6538989.0
IN,2013,6570575.0
IN,2014,6596019.0
IN,2015,6611442.0
IN,2016,6637898.0
IN,2017,6662068.0
IA,1995,2867373.0
IA,1996,2880000.0
IA,1997,2891119.0
IA,1998,2902872.0
IA,1999,2917634.0
IA,2000,2929067.0
IA,2001,2931997.0
IA,2002,2934234.0
IA,2003,2941999.0
IA,2004,2953635.0
IA,2005,2964454.0
IA,2006,2982644.0
IA,2007,2999212.0
IA,2008,3016734.0
IA,2009,3032870.0
IA,2010,3050819.0
IA,2011,3066772.0
IA,2012,3076844.0
IA,2013,3093935.0
IA,2014,3110643.0
IA,2015,3122541.0
IA,2016,3133210.0
IA,2017,3143734.0
KS,1995,2601007.0
KS,1996,2614554.0
KS,1997,2635292.0
KS,1998,2660598.0
KS,1999,2678338.0
KS,2000,2693681.0
KS,2001,2702162.0
KS,2002,2713535.0
KS,2003,2723004.0
KS,2004,2734373.0
KS,2005,2745299.0
KS,2006,2762931.0
KS,2007,2783785.0
KS,2008,2808076.0
KS,2009,2832704.0
KS,2010,2858266.0
KS,2011,2869677.0
KS,2012,2886024.0
KS,2013,2894306.0
KS,2014,2901861.0
KS,2015,2910717.0
KS,2016,2912977.0
KS,2017,2910892.0
KY,1995,3887427.0
KY,1996,3919535.0
KY,1997,3952747.0
KY,1998,3985390.0
KY,1999,4018053.0
KY,2000,4049021.0
KY,2001,4068132.0
KY,2002,4089875.0
KY,2003,4117170.0
KY,2004,4146101.0
KY,2005,4182742.0
KY,2006,4219239.0
KY,2007,4256672.0
KY,2008,4289878.0
KY,2009,4317074.0
KY,2010,4348464.0
KY,2011,4370817.0
KY,2012,4387865.0
KY,2013,4406906.0
KY,2014,4416992.0
KY,2015,4429126.0
KY,2016,4440306.0
KY,2017,4455590.0
LA,1995,4378779.0
LA,1996,4398877.0
LA,1997,4421071.0
LA,1998,4440344.0
LA,1999,4460811.0
LA,2000,4471885.0
LA,2001,4477875.0
LA,2002,4497267.0
LA,2003,4521042.0
LA,2004,4552238.0
LA,2005,4576628.0
LA,2006,4302665.0
LA,2007,4375581.0
LA,2008,4435586.0
LA,2009,4491648.0
LA,2010,4544635.0
LA,2011,4576244.0
LA,2012,4602067.0
LA,2013,4626040.0
LA,2014,4645938.0
LA,2015,4666998.0
LA,2016,4681346.0
LA,2017,4673673.0
ME,1995,1243480.0
ME,1996,1249060.0
ME,1997,1254774.0
ME,1998,1259127.0
ME,1999,1266808.0
ME,2000,1277072.0
ME,2001,1285692.0
ME,2002,1295960.0
ME,2003,1306513.0
ME,2004,1313688.0
ME,2005,1318787.0
ME,2006,1323619.0
ME,2007,1327040.0
ME,2008,1330509.0
ME,2009,1329590.0
ME,2010,1327651.0
ME,2011,1328473.0
ME,2012,1328094.0
ME,2013,1328543.0
ME,2014,1331217.0
ME,2015,1329098.0
ME,2016,1332348.0
ME,2017,1335743.0
MD,1995,5070033.0
MD,1996,5111986.0
MD,1997,5157328.0
MD,1998,5204464.0
MD,1999,5254509.0
MD,2000,5311034.0
MD,2001,5374691.0
MD,2002,5440389.0
MD,2003,5496269.0
MD,2004,5546935.0
MD,2005,5592379.0
MD,2006,5627367.0
MD,2007,5653408.0
MD,2008,5684965.0
MD,2009,5730388.0
MD,2010,5788784.0
MD,2011,5840241.0
MD,2012,5888375.0
MD,2013,5925197.0
MD,2014,5960064.0
MD,2015,5988528.0
MD,2016,6007014.0
MD,2017,6028186.0
MA,1995,6141445.0
MA,1996,6179756.0
MA,1997,6226058.0
MA,1998,6271838.0
MA,1999,6317345.0
MA,2000,6361104.0
MA,2001,6397634.0
MA,2002,6417206.0
MA,2003,6422565.0
MA,2004,6412281.0
MA,2005,6403290.0
MA,2006,6410084.0
MA,2007,6431559.0
MA,2008,6468967.0
MA,2009,6517613.0
MA,2010,6566440.0
MA,2011,6614218.0
MA,2012,6664269.0
MA,2013,6715158.0
MA,2014,6764864.0
MA,2015,6797484.0
MA,2016,6827280.0
MA,2017,6863560.0
MI,1995,9676211.0
MI,1996,9758645.0
MI,1997,9809051.0
MI,1998,9847942.0
MI,1999,9897116.0
MI,2000,9952450.0
MI,2001,9991120.0
MI,2002,10015710.0
MI,2003,10041152.0
MI,2004,10055315.0
MI,2005,10051137.0
MI,2006,10036081.0
MI,2007,10001284.0
MI,2008,9946889.0
MI,2009,9901591.0
MI,2010,9877597.0
MI,2011,9883053.0
MI,2012,9898289.0
MI,2013,9914802.0
MI,2014,9932033.0
MI,2015,9934483.0
MI,2016,9954117.0
MI,2017,9976752.0
MN,1995,4660180.0
MN,1996,4712827.0
MN,1997,4763390.0
MN,1998,4813412.0
MN,1999,4873481.0
MN,2000,4933692.0
MN,2001,4982796.0
MN,2002,5018935.0
MN,2003,5053572.0
MN,2004,5087713.0
MN,2005,5119598.0
MN,2006,5163555.0
MN,2007,5207203.0
MN,2008,5247018.0
MN,2009,5281203.0
MN,2010,5310934.0
MN,2011,5346620.0
MN,2012,5377500.0
MN,2013,5414722.0
MN,2014,5452665.0
MN,2015,5484002.0
MN,2016,5525360.0
MN,2017,5569283.0
MS,1995,2722659.0
MS,1996,2748085.0
MS,1997,2777004.0
MS,1998,2804834.0
MS,1999,2828408.0
MS,2000,2848353.0
MS,2001,2852994.0
MS,2002,2858681.0
MS,2003,2868312.0
MS,2004,2889010.0
MS,2005,2905943.0
MS,2006,2904978.0
MS,2007,2928350.0
MS,2008,2947806.0
MS,2009,2958774.0
MS,2010,2970615.0
MS,2011,2979147.0
MS,2012,2984599.0
MS,2013,2989839.0
MS,2014,2991892.0
MS,2015,2990231.0
MS,2016,2990595.0
MS,2017,2990674.0
MO,1995,5378247.0
MO,1996,5431553.0
MO,1997,5481193.0
MO,1998,5521765.0
MO,1999,5561948.0
MO,2000,5607285.0
MO,2001,5641142.0
MO,2002,5674825.0
MO,2003,5709403.0
MO,2004,5747741.0
MO,2005,5790300.0
MO,2006,5842704.0
MO,2007,5887612.0
MO,2008,5923916.0
MO,2009,5961088.0
MO,2010,5996089.0
MO,2011,6011182.0
MO,2012,6026027.0
MO,2013,6042989.0
MO,2014,6059130.0
MO,2015,6075411.0
MO,2016,6091384.0
MO,2017,6111382.0
MT,1995,876553.0
MT,1996,886254.0
MT,1997,889865.0
MT,1998,892431.0
MT,1999,897507.0
MT,2000,903773.0
MT,2001,906961.0
MT,2002,911667.0
MT,2003,919630.0
MT,2004,930009.0
MT,2005,940102.0
MT,2006,952692.0
MT,2007,964706.0
MT,2008,976415.0
MT,2009,983982.0
MT,2010,990730.0
MT,2011,997518.0
MT,2012,1004168.0
MT,2013,1014158.0
MT,2014,1022657.0
MT,2015,1031495.0
MT,2016,1042137.0
MT,2017,1053862.0
NE,1995,1656992.0
NE,1996,1673740.0
NE,1997,1686418.0
NE,1998,1695816.0
NE,1999,1704764.0
NE,2000,1713820.0
NE,2001,1719836.0
NE,2002,1728292.0
NE,2003,1738643.0
NE,2004,1749370.0
NE,2005,1761497.0
NE,2006,1772693.0
NE,2007,1783440.0
NE,2008,1796378.0
NE,2009,1812683.0
NE,2010,1829591.0
NE,2011,1840914.0
NE,2012,1853691.0
NE,2013,1865813.0
NE,2014,1879955.0
NE,2015,1892059.0
NE,2016,1906483.0
NE,2017,1916998.0
NV,1995,1581578.0
NV,1996,1666320.0
NV,1997,1764104.0
NV,1998,1853191.0
NV,1999,1934718.0
NV,2000,2018741.0
NV,2001,2098399.0
NV,2002,2173791.0
NV,2003,2248850.0
NV,2004,2346222.0
NV,2005,2432143.0
NV,2006,2522658.0
NV,2007,2601072.0
NV,2008,2653630.0
NV,2009,2684665.0
NV,2010,2702483.0
NV,2011,2713114.0
NV,2012,2744670.0
NV,2013,2776956.0
NV,2014,2818935.0
NV,2015,2868531.0
NV,2016,2919555.0
NV,2017,2972097.0
NH,1995,1157561.0
NH,1996,1174719.0
NH,1997,1189425.0
NH,1998,1205940.0
NH,1999,1222014.0
NH,2000,1239882.0
NH,2001,1255517.0
NH,2002,1269089.0
NH,2003,1279840.0
NH,2004,1290121.0
NH,2005,1298492.0
NH,2006,1308389.0
NH,2007,1312540.0
NH,2008,1315906.0
NH,2009,1316102.0
NH,2010,1316807.0
NH,2011,1320444.0
NH,2012,1324677.0
NH,2013,1327272.0
NH,2014,1334257.0
NH,2015,1337480.0
NH,2016,1343694.0
NH,2017,1350395.0
NJ,1995,8083242.0
NJ,1996,8149596.0
NJ,1997,8218808.0
NJ,1998,8287418.0
NJ,1999,8359592.0
NJ,2000,8430621.0
NJ,2001,8492671.0
NJ,2002,8552643.0
NJ,2003,8601402.0
NJ,2004,8634561.0
NJ,2005,8651974.0
NJ,2006,8661679.0
NJ,2007,8677885.0
NJ,2008,8711090.0
NJ,2009,8755602.0
NJ,2010,8799451.0
NJ,2011,8828552.0
NJ,2012,8845671.0
NJ,2013,8857821.0
NJ,2014,8867277.0
NJ,2015,8870312.0
NJ,2016,8873584.0
NJ,2017,8888147.0
NM,1995,1720394.0
NM,1996,1752326.0
NM,1997,1774839.0
NM,1998,1793484.0
NM,1999,1808082.0
NM,2000,1821204.0
NM,2001,1831690.0
NM,2002,1855309.0
NM,2003,1877574.0
NM,2004,1903808.0
NM,2005,1932274.0
NM,2006,1962137.0
NM,2007,1990070.0
NM,2008,2010662.0
NM,2009,2036802.0
NM,2010,2064614.0
NM,2011,2080707.0
NM,2012,2087715.0
NM,2013,2092833.0
NM,2014,2090236.0
NM,2015,2090071.0
NM,2016,2092555.0
NM,2017,2092844.0
NY,1995,18524104.0
NY,1996,18588460.0
NY,1997,18656546.0
NY,1998,18755906.0
NY,1999,18882725.0
NY,2000,19001780.0
NY,2001,19082838.0
NY,2002,19137800.0
NY,2003,19175939.0
NY,2004,19171567.0
NY,2005,19132610.0
NY,2006,19104631.0
NY,2007,19132335.0
NY,2008,19212436.0
NY,2009,19307066.0
NY,2010,19399956.0
NY,2011,19499921.0
NY,2012,19574362.0
NY,2013,19626488.0
NY,2014,19653431.0
NY,2015,19657321.0
NY,2016,19636391.0
NY,2017,19593849.0
NC,1995,7344674.0
NC,1996,7500670.0
NC,1997,7656825.0
NC,1998,7809121.0
NC,1999,7949361.0
NC,2000,8081614.0
NC,2001,8210122.0
NC,2002,8326201.0
NC,2003,8422501.0
NC,2004,8553152.0
NC,2005,8705407.0
NC,2006,8917270.0
NC,2007,9118037.0
NC,2008,9309449.0
NC,2009,9449566.0
NC,2010,9574586.0
NC,2011,9658913.0
NC,2012,9751810.0
NC,2013,9846717.0
NC,2014,9937295.0
NC,2015,10037218.0
NC,2016,10161802.0
NC,2017,10275758.0
ND,1995,647832.0
ND,1996,650382.0
ND,1997,649716.0
ND,1998,647532.0
ND,1999,644259.0
ND,2000,642023.0
ND,2001,639062.0
ND,2002,638168.0
ND,2003,638817.0
ND,2004,644705.0
ND,2005,646089.0
ND,2006,649422.0
ND,2007,652822.0
ND,2008,657569.0
ND,2009,664968.0
ND,2010,674752.0
ND,2011,685526.0
ND,2012,702227.0
ND,2013,723149.0
ND,2014,738736.0
ND,2015,755537.0
ND,2016,756114.0
ND,2017,756755.0
OH,1995,11202751.0
OH,1996,11242827.0
OH,1997,11277357.0
OH,1998,11311536.0
OH,1999,11335454.0
OH,2000,11363543.0
OH,2001,11387404.0
OH,2002,11407889.0
OH,2003,11434788.0
OH,2004,11452251.0
OH,2005,11463320.0
OH,2006,11481213.0
OH,2007,11500468.0
OH,2008,11515391.0
OH,2009,11528896.0
OH,2010,11539449.0
OH,2011,11545735.0
OH,2012,11550971.0
OH,2013,11579692.0
OH,2014,11606573.0
OH,2015,11622315.0
OH,2016,11640060.0
OH,2017,11665706.0
OK,1995,3308208.0
OK,1996,3340129.0
OK,1997,3372917.0
OK,1998,3405194.0
OK,1999,3437147.0
OK,2000,3454365.0
OK,2001,3467100.0
OK,2002,3489080.0
OK,2003,3504892.0
OK,2004,3525233.0
OK,2005,3548597.0
OK,2006,3594090.0
OK,2007,3634349.0
OK,2008,3668976.0
OK,2009,3717572.0
OK,2010,3760014.0
OK,2011,3788824.0
OK,2012,3819320.0
OK,2013,3853891.0
OK,2014,3879187.0
OK,2015,3910518.0
OK,2016,3928143.0
OK,2017,3933602.0
OR,1995,3184369.0
OR,1996,3247111.0
OR,1997,3304310.0
OR,1998,3352449.0
OR,1999,3393941.0
OR,2000,3429708.0
OR,2001,3467937.0
OR,2002,3513424.0
OR,2003,3547376.0
OR,2004,3569463.0
OR,2005,3613202.0
OR,2006,3670883.0
OR,2007,3722417.0
OR,2008,3768748.0
OR,2009,3808600.0
OR,2010,3837614.0
OR,2011,3872672.0
OR,2012,3900102.0
OR,2013,3924110.0
OR,2014,3965447.0
OR,2015,4018542.0
OR,2016,4093271.0
OR,2017,4147294.0
PA,1995,12198403.0
PA,1996,12220464.0
PA,1997,12227814.0
PA,1998,12245672.0
PA,1999,12263805.0
PA,2000,12284173.0
PA,2001,12298970.0
PA,2002,12331031.0
PA,2003,12374658.0
PA,2004,12410722.0
PA,2005,12449990.0
PA,2006,12510809.0
PA,2007,12563937.0
PA,2008,12612285.0
PA,2009,12666858.0
PA,2010,12711406.0
PA,2011,12747052.0
PA,2012,12769123.0
PA,2013,12779538.0
PA,2014,12792392.0
PA,2015,12789838.0
PA,2016,12788468.0
PA,2017,12794679.0
RI,1995,1017002.0
RI,1996,1020893.0
RI,1997,1025353.0
RI,1998,1031155.0
RI,1999,1040402.0
RI,2000,1050268.0
RI,2001,1057142.0
RI,2002,1065995.0
RI,2003,1071342.0
RI,2004,1074579.0
RI,2005,1067916.0
RI,2006,1063096.0
RI,2007,1057315.0
RI,2008,1055003.0
RI,2009,1053646.0
RI,2010,1053994.0
RI,2011,1053829.0
RI,2012,1054893.0
RI,2013,1055560.0
RI,2014,1056511.0
RI,2015,1056886.0
RI,2016,1057816.0
RI,2017,1056554.0
SC,1995,3748582.0
SC,1996,3796200.0
SC,1997,3859696.0
SC,1998,3919235.0
SC,1999,3974682.0
SC,2000,4024223.0
SC,2001,4064995.0
SC,2002,4107795.0
SC,2003,4150297.0
SC,2004,4210921.0
SC,2005,4270150.0
SC,2006,4357847.0
SC,2007,4444110.0
SC,2008,4528996.0
SC,2009,4589872.0
SC,2010,4635846.0
SC,2011,4672655.0
SC,2012,4719027.0
SC,2013,4766469.0
SC,2014,4826858.0
SC,2015,4896006.0
SC,2016,4963031.0
SC,2017,5027102.0
SD,1995,737925.0
SD,1996,742213.0
SD,1997,744223.0
SD,1998,746058.0
SD,1999,750412.0
SD,2000,755844.0
SD,2001,757972.0
SD,2002,760020.0
SD,2003,763729.0
SD,2004,770396.0
SD,2005,775493.0
SD,2006,783033.0
SD,2007,791623.0
SD,2008,799124.0
SD,2009,807067.0
SD,2010,816193.0
SD,2011,823740.0
SD,2012,833859.0
SD,2013,842751.0
SD,2014,849670.0
SD,2015,854663.0
SD,2016,863693.0
SD,2017,873732.0
TN,1995,5326936.0
TN,1996,5416643.0
TN,1997,5499233.0
TN,1998,5570045.0
TN,1999,5638706.0
TN,2000,5703719.0
TN,2001,5750789.0
TN,2002,5795918.0
TN,2003,5847812.0
TN,2004,5910809.0
TN,2005,5991057.0
TN,2006,6088766.0
TN,2007,6175727.0
TN,2008,6247411.0
TN,2009,6306019.0
TN,2010,6355518.0
TN,2011,6400298.0
TN,2012,6455752.0
TN,2013,6496943.0
TN,2014,6544617.0
TN,2015,6595354.0
TN,2016,6651277.0
TN,2017,6714748.0
TX,1995,18958751.0
TX,1996,19340342.0
TX,1997,19740317.0
TX,1998,20157531.0
TX,1999,20558220.0
TX,2000,20944499.0
TX,2001,21319622.0
TX,2002,21690325.0
TX,2003,22030931.0
TX,2004,22394023.0
TX,2005,22778123.0
TX,2006,23359580.0
TX,2007,23831983.0
TX,2008,24309039.0
TX,2009,24801761.0
TX,2010,25241897.0
TX,2011,25645504.0
TX,2012,26084120.0
TX,2013,26479646.0
TX,2014,26963092.0
TX,2015,27468531.0
TX,2016,27914064.0
TX,2017,28291024.0
UT,1995,2014177.0
UT,1996,2067976.0
UT,1997,2119784.0
UT,1998,2165960.0
UT,1999,2203482.0
UT,2000,2244502.0
UT,2001,2283715.0
UT,2002,2324815.0
UT,2003,2360137.0
UT,2004,2401580.0
UT,2005,2457719.0
UT,2006,2525507.0
UT,2007,2597746.0
UT,2008,2663029.0
UT,2009,2723421.0
UT,2010,2775413.0
UT,2011,2814797.0
UT,2012,2854146.0
UT,2013,2898773.0
UT,2014,2938327.0
UT,2015,2983626.0
UT,2016,3044241.0
UT,2017,3103540.0
VT,1995,589002.0
VT,1996,593701.0
VT,1997,597239.0
VT,1998,600416.0
VT,1999,604683.0
VT,2000,609618.0
VT,2001,612223.0
VT,2002,615442.0
VT,2003,617858.0
VT,2004,619920.0
VT,2005,621215.0
VT,2006,622892.0
VT,2007,623481.0
VT,2008,624151.0
VT,2009,624817.0
VT,2010,625886.0
VT,2011,627197.0
VT,2012,626361.0
VT,2013,626603.0
VT,2014,625693.0
VT,2015,625810.0
VT,2016,624366.0
VT,2017,625132.0
VA,1995,6670693.0
VA,1996,6750884.0
VA,1997,6829183.0
VA,1998,6900918.0
VA,1999,7000174.0
VA,2000,7105817.0
VA,2001,7198362.0
VA,2002,7286873.0
VA,2003,7366977.0
VA,2004,7475575.0
VA,2005,7577105.0
VA,2006,7673725.0
VA,2007,7751000.0
VA,2008,7833496.0
VA,2009,7925937.0
VA,2010,8024004.0
VA,2011,8102437.0
VA,2012,8187456.0
VA,2013,8255861.0
VA,2014,8315430.0
VA,2015,8367303.0
VA,2016,8417651.0
VA,2017,8471011.0
WA,1995,5481027.0
WA,1996,5569753.0
WA,1997,5674747.0
WA,1998,5769562.0
WA,1999,5842564.0
WA,2000,5910512.0
WA,2001,5985722.0
WA,2002,6052349.0
WA,2003,6104115.0
WA,2004,6178645.0
WA,2005,6257305.0
WA,2006,6370753.0
WA,2007,6461587.0
WA,2008,6562231.0
WA,2009,6667426.0
WA,2010,6743009.0
WA,2011,6827479.0
WA,2012,6898599.0
WA,2013,6966252.0
WA,2014,7057531.0
WA,2015,7167287.0
WA,2016,7299961.0
WA,2017,7427951.0
WV,1995,1823700.0
WV,1996,1822808.0
WV,1997,1819113.0
WV,1998,1815609.0
WV,1999,1811799.0
WV,2000,1807021.0
WV,2001,1801481.0
WV,2002,1805414.0
WV,2003,1812295.0
WV,2004,1816438.0
WV,2005,1820492.0
WV,2006,1827912.0
WV,2007,1834052.0
WV,2008,1840310.0
WV,2009,1847775.0
WV,2010,1854265.0
WV,2011,1856606.0
WV,2012,1857446.0
WV,2013,1854768.0
WV,2014,1850569.0
WV,2015,1843332.0
WV,2016,1832435.0
WV,2017,1818683.0
WI,1995,5184836.0
WI,1996,5229986.0
WI,1997,5266213.0
WI,1998,5297672.0
WI,1999,5332666.0
WI,2000,5373999.0
WI,2001,5406835.0
WI,2002,5445162.0
WI,2003,5479203.0
WI,2004,5514026.0
WI,2005,5546166.0
WI,2006,5577655.0
WI,2007,5610775.0
WI,2008,5640996.0
WI,2009,5669264.0
WI,2010,5690538.0
WI,2011,5705840.0
WI,2012,5720825.0
WI,2013,5738012.0
WI,2014,5753199.0
WI,2015,5762927.0
WI,2016,5775170.0
WI,2017,5793147.0
WY,1995,485160.0
WY,1996,488167.0
WY,1997,489451.0
WY,1998,490787.0
WY,1999,491780.0
WY,2000,494300.0
WY,2001,494657.0
WY,2002,500017.0
WY,2003,503453.0
WY,2004,509106.0
WY,2005,514157.0
WY,2006,522667.0
WY,2007,534876.0
WY,2008,546043.0
WY,2009,559851.0
WY,2010,564531.0
WY,2011,567491.0
WY,2012,576656.0
WY,2013,582620.0
WY,2014,583159.0
WY,2015,586389.0
WY,2016,585243.0
WY,2017,579994.0
